Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
887,8,26,NA,NA,NA,77,NA,JAPAN:  NANKAIDO,33,135.3,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
891,NA,NA,NA,NA,0,NA,NA,IRAN:  ARDABIL,38.3,48.3,20,6.3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
894,NA,NA,NA,NA,0,NA,NA,ITALY:  VERONA,45.3,11,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922,NA,NA,NA,NA,NA,79,NA,JAPAN:  KUMANONADA,33.8,136.7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
942,6,NA,NA,NA,0,NA,NA,UZBEKISTAN:  BUKHARA,39.7,64.5,20,6.7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
953,8,20,NA,NA,0,NA,NA,TURKMENISTAN:  NISA,38,58.3,18,7.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
978,6,17,NA,NA,NA,NA,NA,IRAN:  TAHERI (SIRAF),27.7,52.3,NA,5.3,7,2000,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA
999,10,NA,NA,NA,NA,NA,NA,CHINA:  JIANGSU PROVINCE:   CHANGZHOU,31.8,119.9,NA,5.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,NA,NA,NA,NA,0,NA,NA,ITALY:  VERONA,45.3,11,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,NA,NA,NA,NA,NA,NA,NA,"TURKEY:  KARS, DIGOR, ANI (ARMENIA)",40.5,43.3,20,4.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,4,11,NA,NA,NA,3562,NA,IRAN-IRAQ:  DAINAWAR,27.665,52.348,NA,6.5,NA,16000,NA,NA,NA,NA,NA,16000,NA,NA,NA,NA,NA
1022,4,NA,NA,NA,NA,NA,NA,CHINA:  SHAANXI PROVINCE:  DATONG,39.8,113.1,NA,6.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1026,6,16,NA,NA,NA,83,NA,"JAPAN:  OFF MASUDA, SHIMANE PREFECTURE",34.8,131.8,NA,7.5,NA,NA,NA,NA,NA,NA,NA,1001,NA,NA,NA,3000,NA
1036,7,NA,NA,NA,NA,NA,NA,NORTH KOREA:  KAESONG,37.6,126.3,NA,5.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1038,1,9,NA,NA,NA,NA,NA,"CHINA:  SHAANXI PROVINCE:  DINGXIANG, XINXIAN",38.4,112.9,NA,7.3,10,32300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1039,2,2,NA,NA,NA,87,NA,TURKEY:  ISTANBUL (CONSTANTINOPLE),38.4,27.3,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1042,11,4,13,30,NA,NA,NA,IRAN:  TABRIZ,38.1,46.3,15,7.6,9,50000,NA,NA,NA,NA,NA,50000,NA,NA,NA,NA,NA
1046,NA,NA,NA,NA,0,NA,NA,TURKEY:  ANI (ARMENIA),40.5,43.5,15,5.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1057,NA,NA,NA,NA,NA,NA,NA,CHINA:  BEIJING,39.7,116.3,NA,6.8,9,25000,NA,NA,NA,NA,NA,25000,NA,NA,NA,NA,NA
1067,11,NA,NA,NA,NA,NA,NA,CHINA:  GUANGDONG PROVINCE,23.6,116.5,NA,6.8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1068,8,14,NA,NA,NA,NA,NA,"CHINA:  HEBEI PROVINCE:  CANGZHOU, HEJIAN",38.5,116.1,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,4,22,NA,NA,NA,NA,NA,GEORGIA:  TMOGVI,41.4,43.2,10,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,6,10,NA,NA,NA,93,NA,JAPAN:  SANRIKU,40.5,143,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
